timestamp,cpu_load_percent,ram_usage_percent,gpu_load_percent,gpu_temp_c,gpu_power_w
2026-08-16T04:44:14.818765,20.9,95.4,72,70,61.879
2026-08-16T04:44:15.820408,21.6,95.4,73,70,61.282
2026-08-16T04:44:16.821550,20.1,95.4,66,72,60.673
2026-08-16T04:44:17.823130,21,95.4,61,70,61.471
2026-08-16T04:44:18.824828,20.4,95.4,75,72,62.856
2026-08-16T04:44:19.826146,19.1,95.4,73,72,60.752
2026-08-16T04:44:20.827275,20.9,95.4,66,69,60.016
2026-08-16T04:44:21.828820,20.3,95.3,72,70,60.334
2026-08-16T04:44:22.830094,21.6,95.4,45,70,46.334
2026-08-16T04:44:23.831174,22.4,95.2,74,70,61.024
2026-08-16T04:44:24.833102,21.8,95.2,73,70,61.591
2026-08-16T04:44:25.834287,18.3,95.2,70,71,60.778
2026-08-16T04:44:26.835466,20.7,95.2,77,70,61.711
2026-08-16T04:44:27.837500,19.9,95.2,79,71,61.536
2026-08-16T04:44:28.838600,21.5,95.2,75,70,61.921
2026-08-16T04:44:29.841629,20.1,95.2,76,71,62.585
2026-08-16T04:44:30.843855,16.8,95.2,70,70,62.075
2026-08-16T04:44:31.847821,16.7,95.2,74,72,63.451
2026-08-16T04:44:32.848606,17.1,95.2,70,70,62.771
2026-08-16T04:44:33.849566,17.1,95.2,74,71,71.831
2026-08-16T04:44:34.850349,19.1,95.2,74,71,63.506
2026-08-16T04:44:35.851981,16.5,95.2,78,71,64.475
2026-08-16T04:44:36.854665,16.5,95.2,74,72,63.156
2026-08-16T04:44:37.856373,16.5,95.2,76,71,63.054
2026-08-16T04:44:38.858126,22.1,95.2,75,71,63.645
2026-08-16T04:44:39.858999,17.1,95.2,77,71,67.384
2026-08-16T04:44:40.860628,18.6,95.3,73,72,62.512
2026-08-16T04:44:41.861541,14.1,95.3,77,71,60.105
2026-08-16T04:44:42.862390,16.9,95.3,73,71,64.65
2026-08-16T04:44:43.864962,17.7,95.2,75,69,64.105
2026-08-16T04:44:44.866350,20.4,95.4,82,73,90.07
2026-08-16T04:44:45.867283,18,95.4,77,70,63.251
2026-08-16T04:44:46.868251,19.9,95.4,80,72,67.648
2026-08-16T04:44:47.869444,17.4,95.4,78,71,64.969
2026-08-16T04:44:48.871540,19.3,95.3,77,72,63.962
